mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10454621315002441,0.005250456840916909,0.01006178855895996,0.0015229021660229088,1,{'MLP__max_iter': 1},0.6168439349272619,0.6185465806966473,0.6110136240111482,0.6099488230510892,0.6054806105267297,0.6123671881144253,0.004760798798707659,11,0.605083831245623,0.6153400582952083,0.612745813973494,0.6187019854739575,0.6035808700910059,0.6110905118158578,0.005851634507890139
0.18238277435302735,0.001197453741644568,0.01017169952392578,0.00011570779604027568,2,{'MLP__max_iter': 2},0.6168439349272619,0.630322115515412,0.6270317369631785,0.6180274052107988,0.6054806105267297,0.6195416341005262,0.008712790602502388,10,0.605083831245623,0.6253687186966537,0.6294119502389962,0.6304485315270321,0.6035808700910059,0.6187787803598621,0.011926464598083594
0.3427425384521484,0.005896361361803593,0.010085535049438477,0.00015620354163354582,4,{'MLP__max_iter': 4},0.6403591149229203,0.6233083343157614,0.6213608594583647,0.6241532225154391,0.6322968024855157,0.6282960026692851,0.00709489580616615,9,0.6370281612564335,0.6173958050270094,0.6287905541751564,0.6385252395343886,0.6324768329340282,0.6308433185854032,0.007549596281738268
0.5939794540405273,0.07840103360428786,0.010156536102294922,0.0002535751054191434,8,{'MLP__max_iter': 8},0.6435265982978822,0.6473566637344965,0.6412255564321837,0.6241532225154391,0.6322968024855157,0.6377122366012623,0.008394521020887646,8,0.640275134255849,0.6446353664683365,0.6463720615467118,0.6385252395343886,0.6324768329340282,0.6404569269478628,0.004896826308225354
0.7884835720062255,0.2908469398014395,0.01006321907043457,6.400007370192302e-05,16,{'MLP__max_iter': 16},0.6435265982978822,0.6498444740684314,0.6483678090038784,0.6241532225154391,0.6322968024855157,0.6396382491823882,0.009891069828506023,1,0.640275134255849,0.6475744397826004,0.6552303882358587,0.6385252395343886,0.6324768329340282,0.6428164069485449,0.007855250261173783
0.78441481590271,0.29179664938825806,0.010054731369018554,3.5611340607138185e-05,32,{'MLP__max_iter': 32},0.6435265982978822,0.6498444740684314,0.6483678090038784,0.6241532225154391,0.6322968024855157,0.6396382491823882,0.009891069828506023,1,0.640275134255849,0.6475744397826004,0.6552303882358587,0.6385252395343886,0.6324768329340282,0.6428164069485449,0.007855250261173783
0.7836368560791016,0.29155143310673276,0.010091686248779297,0.00012986059237976694,64,{'MLP__max_iter': 64},0.6435265982978822,0.6498444740684314,0.6483678090038784,0.6241532225154391,0.6322968024855157,0.6396382491823882,0.009891069828506023,1,0.640275134255849,0.6475744397826004,0.6552303882358587,0.6385252395343886,0.6324768329340282,0.6428164069485449,0.007855250261173783
0.784152889251709,0.2931583260139374,0.01005539894104004,6.809605259785476e-05,128,{'MLP__max_iter': 128},0.6435265982978822,0.6498444740684314,0.6483678090038784,0.6241532225154391,0.6322968024855157,0.6396382491823882,0.009891069828506023,1,0.640275134255849,0.6475744397826004,0.6552303882358587,0.6385252395343886,0.6324768329340282,0.6428164069485449,0.007855250261173783
0.7852522373199463,0.2914170009305807,0.010168313980102539,0.00012320451649900036,256,{'MLP__max_iter': 256},0.6435265982978822,0.6498444740684314,0.6483678090038784,0.6241532225154391,0.6322968024855157,0.6396382491823882,0.009891069828506023,1,0.640275134255849,0.6475744397826004,0.6552303882358587,0.6385252395343886,0.6324768329340282,0.6428164069485449,0.007855250261173783
0.784788179397583,0.291640017453461,0.010430002212524414,0.0004575678187851679,512,{'MLP__max_iter': 512},0.6435265982978822,0.6498444740684314,0.6483678090038784,0.6241532225154391,0.6322968024855157,0.6396382491823882,0.009891069828506023,1,0.640275134255849,0.6475744397826004,0.6552303882358587,0.6385252395343886,0.6324768329340282,0.6428164069485449,0.007855250261173783
0.7877877235412598,0.2979019815568065,0.010067415237426759,9.885576085081992e-05,1024,{'MLP__max_iter': 1024},0.6435265982978822,0.6498444740684314,0.6483678090038784,0.6241532225154391,0.6322968024855157,0.6396382491823882,0.009891069828506023,1,0.640275134255849,0.6475744397826004,0.6552303882358587,0.6385252395343886,0.6324768329340282,0.6428164069485449,0.007855250261173783
