,0,1,2,3,4
959,0.49999999999999994,0.6337675218196246,0.6337675218196246,0.6337675218196246,0.6337675218196246
1007,0.5474276974416016,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
1055,0.5325011280662894,0.6258165487207403,0.6258165487207403,0.6258165487207403,0.6258165487207403
1103,0.4999999999999999,0.6343020070720654,0.6343020070720654,0.6343020070720654,0.6343020070720654
1151,0.4999999999999999,0.6153138041076835,0.6153138041076835,0.6153138041076835,0.6153138041076835
1199,0.5,0.6562683327466854,0.6562683327466854,0.6562683327466854,0.6562683327466854
1247,0.5,0.6318185671568174,0.6318185671568174,0.6318185671568174,0.6318185671568174
1295,0.6162891986062717,0.6347326203208555,0.6347326203208555,0.6347326203208555,0.6347326203208555
1343,0.6411609414555449,0.6601183167764261,0.6601183167764261,0.6601183167764261,0.6601183167764261
1391,0.5000000000000001,0.6340815130198693,0.6340815130198693,0.6340815130198693,0.6340815130198693
1439,0.62505119530518,0.6489372696269249,0.6489372696269249,0.6489372696269249,0.6489372696269249
1487,0.5425873138363493,0.6298628963153385,0.6298628963153385,0.6298628963153385,0.6298628963153385
1535,0.5000000000000001,0.6351040061824109,0.6351040061824109,0.6351040061824109,0.6351040061824109
1583,0.6425002205885766,0.6465814278314278,0.6465814278314278,0.6465814278314278,0.6465814278314278
1631,0.6354029799758237,0.6386806840993822,0.6386806840993822,0.6386806840993822,0.6386806840993822
1679,0.6396976972153916,0.6566760830162801,0.6566760830162801,0.6566760830162801,0.6566760830162801
1727,0.6465589053893614,0.6619933279339735,0.6619933279339735,0.6619933279339735,0.6619933279339735
1775,0.6459640840507267,0.6304723744484212,0.6304723744484212,0.6304723744484212,0.6304723744484212
1823,0.6206479572222416,0.6508037313122059,0.6508037313122059,0.6508037313122059,0.6508037313122059
1871,0.6431528287560635,0.5910772209717993,0.5910772209717993,0.5910772209717993,0.5910772209717993
1919,0.6006751072072128,0.6077461654663184,0.6077461654663184,0.6077461654663184,0.6077461654663184
2829,0.6734986992339933,0.6605096417329653,0.6605096417329653,0.6605096417329653,0.6605096417329653
3738,0.691459653259669,0.6563555750278202,0.6563555750278202,0.6563555750278202,0.6563555750278202
4648,0.7169367061485186,0.6370266928193756,0.6370266928193756,0.6370266928193756,0.6370266928193756
5557,0.6762490002705149,0.6330497519788761,0.6057781672225678,0.6057781672225678,0.6057781672225678
6467,0.6833411306362873,0.6624566560535359,0.6788442763727337,0.6788442763727337,0.6788442763727337
7376,0.6774686422911558,0.6645820748794845,0.6533507104983912,0.6533507104983912,0.6533507104983912
8285,0.6277044532997937,0.6477497707704236,0.6083027059772143,0.6083027059772143,0.6083027059772143
9195,0.6466849485187433,0.6219556828657796,0.6689690244284517,0.6689690244284517,0.6689690244284517
10104,0.6735543315898969,0.649885036982215,0.6658481991759667,0.6566503528320073,0.6566503528320073
11014,0.6418792987350296,0.6691332501929634,0.66425462253585,0.66118202568302,0.66118202568302
11923,0.6660520483009402,0.6454108454697639,0.6634909656325236,0.664230176654254,0.664230176654254
12833,0.6648799012080262,0.6654034949896755,0.6680091942689316,0.6766274534091075,0.6766274534091075
13742,0.6557645162466654,0.6629316392038404,0.672035446486917,0.6814527141827281,0.6814527141827281
14651,0.6648018659937429,0.6642842738673763,0.665176884917833,0.6600622944795116,0.6642508984517558
15561,0.6416837143720995,0.6472534252357994,0.6783695827082507,0.670634254017666,0.6674933094107118
16470,0.6696408626166949,0.6633383100692947,0.659693045426127,0.6770523717103615,0.6689226621829104
17380,0.6613594225566242,0.6533171440460765,0.664327872980053,0.6610744553149756,0.6493584201807192
18289,0.6659008282090741,0.6521486915501622,0.6816126314652273,0.6641875277118579,0.6607191549328048
19199,0.6686784178250396,0.65386132256137,0.6767102495035364,0.667563863101427,0.6635201272355374
