mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__max_depth,param_Boost__learning_rate,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.011307811737060547,0.00032956401405847126,0.0017047882080078124,0.00025248807143697367,1,0.01,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 1}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.19940476190476195,0.19822320777462107,0.0008354854467791295,842,0.19837037037037036,0.19866666666666666,0.1985185185185185,0.1988148148148148,0.19837278106508877,0.1985486302870918,0.0001722748124929913
0.019376373291015624,0.0005951512595315659,0.0018724441528320313,0.00031301519711088375,1,0.01,2,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 2}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.1945054945054945,0.19724647449236066,0.0014903620591187857,862,0.19837037037037036,0.19866666666666666,0.1985185185185185,0.1988148148148148,0.19808743169398907,0.19849156041287186,0.00025055514194721924
0.045341777801513675,0.00035295728024529815,0.0027274131774902345,8.56115404500496e-05,1,0.01,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 5}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467464,0.19940476190476195,0.1982232077746211,0.0008354854467791256,839,0.19837037037037036,0.19866666666666666,0.1985185185185185,0.19881481481481483,0.19837278106508877,0.19854863028709185,0.0001722748124929999
0.09119973182678223,0.00322765005178371,0.004196071624755859,0.0006584987804766982,1,0.01,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 10}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.1945054945054945,0.19724647449236066,0.0014903620591187857,862,0.19837037037037036,0.19866666666666666,0.1985185185185185,0.1988148148148148,0.19808743169398907,0.19849156041287186,0.00025055514194721924
0.17328333854675293,0.002602530377142414,0.006281328201293945,0.0004328670730350113,1,0.01,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 20}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.19940476190476192,0.19822320777462107,0.0008354854467791217,842,0.19837037037037036,0.19866666666666666,0.19851851851851854,0.1988148148148148,0.1983727810650888,0.19854863028709185,0.0001722748124929847
0.2572911262512207,0.003154917586499254,0.008582592010498047,0.00015693869239388397,1,0.01,30,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 30}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.19940476190476192,0.19822320777462107,0.0008354854467791217,842,0.19837037037037036,0.19866666666666666,0.1985185185185185,0.1988148148148148,0.19864600510880462,0.19860327509583497,0.00014968078467799905
0.38685216903686526,0.004226335800431581,0.012301111221313476,0.0004934570613849657,1,0.01,45,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 45}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.1945054945054945,0.19724647449236066,0.0014903620591187857,862,0.19837037037037036,0.19866666666666666,0.1985185185185185,0.1988148148148148,0.19808743169398907,0.19849156041287186,0.00025055514194721924
0.5171453952789307,0.002891796953555819,0.01575322151184082,0.0005502866787117823,1,0.01,60,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 60}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.1945054945054945,0.19724647449236066,0.0014903620591187857,862,0.19837037037037036,0.19866666666666666,0.1985185185185185,0.1988148148148148,0.19808743169398907,0.19849156041287186,0.00025055514194721924
0.6904694080352783,0.013029729320108475,0.021186256408691408,0.0016822924459516115,1,0.01,80,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 80}",0.19704142011834322,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.19940476190476195,0.19822320777462107,0.0008354854467791295,842,0.19837037037037036,0.19866666666666666,0.1985185185185185,0.1988148148148148,0.19873734924176287,0.19862154392242665,0.0001590615974909303
0.7739552974700927,0.006964157371711997,0.022934579849243165,0.000772607721505152,1,0.01,90,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 90}",0.19881656804733733,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.19940476190476195,0.19857851999514078,0.0006022571854791077,836,0.20014814814814816,0.19866666666666666,0.198792116329736,0.1988148148148148,0.19873734924176287,0.1990318190402257,0.0005604975679839802
0.8665354728698731,0.009265781919754901,0.02614750862121582,0.0009910791238357717,1,0.01,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 100}",0.19881656804733733,0.19822485207100596,0.1988165680473373,0.19763313609467462,0.19940476190476192,0.19857851999514078,0.0006022571854791002,836,0.20014814814814816,0.19866666666666666,0.198792116329736,0.1988148148148148,0.19873734924176287,0.1990318190402257,0.0005604975679839802
