,0,1,2,3,4
10.0,0.8907488884741814,0.9091699003109238,0.9005451610985359,0.8966548115970231,0.8851222233000291
3.1622776601683795,0.9680209017864184,0.9711892296886716,0.959836071972788,0.9654334799833839,0.9626071070585572
1.0,0.9863024442335323,0.9811837647458097,0.9868033084670557,0.986655112975024,0.9858974358974357
0.31622776601683794,0.9927527751008307,0.9900185585566111,0.991180078567649,0.9916002821131246,0.9896764962653991
0.1,0.9930038613107205,0.9924555443857803,0.989469835593855,0.9924438063021702,0.992989135706664
0.03162277660168379,0.9900287542263312,0.99258233450542,0.9883308271841453,0.9929908150408545,0.9947190157467585
0.01,0.9931294978575406,0.9903023843078632,0.9949973693845138,0.9929908150408545,0.9947303327189833
0.0031622776601683794,0.9931294978575406,0.9954306514701694,0.9952599917206933,0.9935607091483682,0.9947303327189833
0.001,0.9931181486150013,0.992719352565094,0.9965583429076544,0.9936861588114377,0.994878261713066
0.00031622776601683794,0.9934030956687582,0.9952823164382706,0.9949633216568955,0.9934012117576808,0.9945824037249005
0.0001,0.9931294978575406,0.9958522105457843,0.992399171940585,0.9935493599058289,0.9947190157467584
3.1622776601683795e-05,0.9929813497093924,0.9954304645864186,0.991646287078418,0.9929908150408546,0.995014873734924
1e-05,0.9931179617312503,0.9925712044169459,0.9914866028039796,0.9928540161352457,0.995014873734924
3.162277660168379e-06,0.9929813497093924,0.9961369707157903,0.9952596179531918,0.992717217229637,0.9947190157467585
1e-06,0.9929813497093924,0.9920703297248132,0.9952596179531918,0.9930021642833938,0.9947190157467585
3.162277660168379e-07,0.9932549475206098,0.9959890094513931,0.9953964168588005,0.9930021642833938,0.9948669447408413
1e-07,0.9932549475206098,0.9959890094513931,0.9953964168588005,0.9930021642833938,0.9948669447408413
3.162277660168379e-08,0.9932549475206098,0.9959890094513931,0.9953964168588005,0.9930021642833938,0.9948669447408413
1e-08,0.9932549475206098,0.9959890094513931,0.9953964168588005,0.9930021642833938,0.9948669447408413
3.1622776601683795e-09,0.9932549475206098,0.9959890094513931,0.9953964168588005,0.9930021642833938,0.9948669447408413
1e-09,0.9932549475206098,0.9959890094513931,0.9953964168588005,0.9930021642833938,0.9948669447408413
