,train,test
0.1,0.007833400000026813,0.001973400000019865
0.2,0.0144345999999814,0.0016552000000274348
0.3,0.020296799999982795,0.0014972000000170738
0.4,0.027952200000004267,0.0014893999999912922
0.5,0.032467200000019146,0.0014124000000037995
0.6,0.03638880000000881,0.00103100000003451
0.7,0.041970999999989544,0.0009133999999903608
0.8,0.04955699999995886,0.0007879999999659048
0.9,0.05392800000001898,0.00048200000001088485
