param_MLP__max_iter,train acc,test acc
1,0.8108226574478539,0.8028497107853763
2,0.8643357091921484,0.8702120465488313
4,0.9304986759682871,0.9294629296600844
8,0.9717527448159778,0.9710350946178956
16,0.9866749732182171,0.9869598897386265
32,0.9933009505755361,0.9904944224839091
64,0.9971382300691093,0.9936610330540853
128,0.9994259911722309,0.9945716479260819
256,0.9994259911722309,0.9946089003526637
512,0.9994259911722309,0.9946089003526637
1024,0.9994259911722309,0.9946089003526637
2048,0.9994259911722309,0.9946089003526637
2100,0.9994259911722309,0.9946089003526637
2200,0.9994259911722309,0.9946089003526637
2300,0.9994259911722309,0.9946089003526637
2400,0.9994259911722309,0.9946089003526637
2500,0.9994259911722309,0.9946089003526637
2600,0.9994259911722309,0.9946089003526637
2700,0.9994259911722309,0.9946089003526637
2800,0.9994259911722309,0.9946089003526637
2900,0.9994259911722309,0.9946089003526637
3000,0.9994259911722309,0.9946089003526637
