,0,1,2,3,4
572,1.0,1.0,1.0,1.0,1.0
601,1.0,1.0,1.0,1.0,1.0
629,1.0,1.0,1.0,1.0,1.0
658,1.0,1.0,1.0,1.0,1.0
687,1.0,1.0,1.0,1.0,1.0
715,1.0,1.0,1.0,1.0,1.0
744,1.0,1.0,1.0,1.0,1.0
773,1.0,1.0,1.0,1.0,1.0
801,1.0,1.0,1.0,1.0,1.0
830,1.0,1.0,1.0,1.0,1.0
858,1.0,1.0,1.0,1.0,1.0
887,1.0,0.9974905897114177,0.9974905897114177,0.9974905897114177,0.9974905897114177
916,1.0,1.0,1.0,1.0,1.0
944,1.0,0.9994107248084856,0.9994107248084856,0.9994107248084856,0.9994107248084856
973,1.0,0.9965870307167235,0.9965870307167235,0.9965870307167235,0.9965870307167235
1002,1.0,1.0,1.0,1.0,1.0
1030,1.0,0.998389694041868,0.998389694041868,0.998389694041868,0.998389694041868
1059,1.0,0.9953198127925117,0.9953198127925117,0.9953198127925117,0.9953198127925117
1088,1.0,0.9989816700610997,0.9989816700610997,0.9989816700610997,0.9989816700610997
1116,1.0,0.9980198019801981,0.9980198019801981,0.9980198019801981,0.9980198019801981
1145,1.0,0.9980732177263969,0.9980732177263969,0.9980732177263969,0.9980732177263969
1687,0.9983792544570502,0.993472518108223,0.993472518108223,0.993472518108223,0.993472518108223
2230,0.9764415127215832,0.9904540018476126,0.9904540018476126,0.9904540018476126,0.9904540018476126
2772,0.9765297569153394,0.995866955323755,0.995866955323755,0.995866955323755,0.995866955323755
3315,0.9664015677462586,0.9682046612617979,0.9913188298794078,0.9913188298794078,0.9913188298794078
3857,0.9748042281394171,0.979203736654804,0.9779085562483305,0.9779085562483305,0.9779085562483305
4400,0.9600482087107399,0.9691846983598018,0.9752755394811407,0.9752755394811407,0.9752755394811407
4942,0.9606425588728245,0.9631742168197724,0.9679858254025714,0.9679858254025714,0.9679858254025714
5485,0.9580677688412607,0.9639037179211098,0.9709462943633884,0.9709462943633884,0.9709462943633884
6027,0.9611749573874031,0.9569793552516646,0.9667990472479299,0.9596999362240508,0.9596999362240508
6570,0.9549402706586317,0.9555920293724073,0.9651157850010629,0.9537755633861689,0.9537755633861689
7112,0.9547987468012347,0.9538726632879473,0.9589729578421052,0.9500457013959283,0.9500457013959283
7655,0.9543935544011949,0.9571298863831547,0.9597192440958886,0.9514654926069933,0.9514654926069933
8197,0.9521531693736964,0.9588230134094251,0.9568785028256922,0.9559716995978764,0.9559716995978764
8740,0.9522659358694487,0.953605245117496,0.9542736165412389,0.9550522911207142,0.9535818091307626
9282,0.9503780887817929,0.9535083204666323,0.9580470923471958,0.9547635366689511,0.9475171975539064
9825,0.9514928606588934,0.9537144939753117,0.9581283942233562,0.955624068891901,0.9531331972048802
10367,0.9511882504003567,0.9533919006394981,0.9553013087632442,0.9556891723667904,0.9518515213051152
10910,0.9496576061667941,0.9533596939476306,0.9547850219691794,0.9542900154096302,0.9508609439780151
11453,0.9510966678418855,0.954116802894847,0.957146337239017,0.9531924878606266,0.9486980591200173
