param_MLP__max_iter,train acc,test acc
1,0.9312368119844809,0.9318087523595927
2,0.9788730587463653,0.9752528971386434
4,0.9888525077120229,0.9859709394764256
8,0.994970049178451,0.9928621754618339
16,0.9979403912895143,0.9913639543922825
32,0.9959366834295286,0.9915091335615679
64,0.9959366834295286,0.9915091335615679
128,0.9959366834295286,0.9915091335615679
256,0.9959366834295286,0.9915091335615679
512,0.9959366834295286,0.9915091335615679
1024,0.9959366834295286,0.9915091335615679
2048,0.9959366834295286,0.9915091335615679
2100,0.9959366834295286,0.9915091335615679
2200,0.9959366834295286,0.9915091335615679
2300,0.9959366834295286,0.9915091335615679
2400,0.9959366834295286,0.9915091335615679
2500,0.9959366834295286,0.9915091335615679
2600,0.9959366834295286,0.9915091335615679
2700,0.9959366834295286,0.9915091335615679
2800,0.9959366834295286,0.9915091335615679
2900,0.9959366834295286,0.9915091335615679
3000,0.9959366834295286,0.9915091335615679
