,0,1,2,3,4
572,0.0,0.0,0.0,0.0,0.0
601,0.0,0.0,0.0,0.0,0.0
629,0.0,0.0,0.0,0.0,0.0
658,0.0,0.0,0.0,0.0,0.0
687,0.0,0.0,0.0,0.0,0.0
715,0.0,0.0,0.0,0.0,0.0
744,0.0,0.0,0.0,0.0,0.0
773,0.0,0.0,0.0,0.0,0.0
801,0.0,0.0,0.0,0.0,0.0
830,0.0,0.0,0.0,0.0,0.0
858,0.0,0.0,0.0,0.0,0.0
887,0.0,0.0,0.0,0.0,0.0
916,0.0,0.0,0.0,0.0,0.0
944,0.0,0.0,0.0,0.0,0.0
973,0.0,0.0,0.0,0.0,0.0
1002,0.0,0.0,0.0,0.0,0.0
1030,0.0,0.0,0.0,0.0,0.0
1059,0.0,0.0,0.0,0.0,0.0
1088,0.0,0.0,0.0,0.0,0.0
1116,0.0,0.0,0.0,0.0,0.0
1145,0.0,0.0,0.0,0.0,0.0
1687,0.0,0.0,0.0,0.0,0.0
2230,0.0,0.0,0.0,0.0,0.0
2772,0.9105022122176509,0.9195579048534355,0.9195579048534355,0.9195579048534355,0.9195579048534355
3315,0.9069013455265172,0.9091274643036664,0.9186559221529583,0.9186559221529583,0.9186559221529583
3857,0.8934875552912285,0.8903223994345021,0.8887102417491676,0.8887102417491676,0.8887102417491676
4400,0.9118183434717696,0.9196175908221802,0.895656372456581,0.895656372456581,0.895656372456581
4942,0.9127885313635375,0.9369532360135862,0.8929972634182716,0.8929972634182716,0.8929972634182716
5485,0.8947452760162188,0.914699549814054,0.8860298600394729,0.8860298600394729,0.8860298600394729
6027,0.8965430496003068,0.8977560269760086,0.8811186424092364,0.9119744191087433,0.9119744191087433
6570,0.8767693783486582,0.9129634499079652,0.9264618434093166,0.9160176955068088,0.9160176955068088
7112,0.9100618463476773,0.9165578815726193,0.894010452737744,0.9313345665133383,0.9313345665133383
7655,0.9197946980473449,0.9206283751817308,0.897394689319355,0.8958808232299181,0.8958808232299181
8197,0.8784822466349225,0.8999273145312743,0.9059076666569149,0.8809441329517708,0.8809441329517708
8740,0.9212381429062475,0.9049926764064207,0.9298986014822861,0.8789206675206651,0.8913714537963419
9282,0.9196308670114824,0.9173366889316477,0.9252426078400919,0.8879458134133813,0.8874973933047758
9825,0.8994988151952699,0.9028192421623703,0.928409717797512,0.9040224989752412,0.8945763734422757
10367,0.8868024953145168,0.9191929969936565,0.9148006862957407,0.9022972480421525,0.9116751269035478
10910,0.8894639777033577,0.9204549663752472,0.9086393512614218,0.8985108984492375,0.9257658108791444
11453,0.9203297588517513,0.9309278389576924,0.9180529935723825,0.894851554434948,0.9202181768936508
