param_Boost__n_estimators,train acc,test acc
1,0.999705740730833,0.6060808689337696
2,0.9988698436617066,0.6048901068863749
5,0.999705740730833,0.6181958729387229
10,0.999705740730833,0.6181958729387229
20,0.999705740730833,0.6181958729387229
30,0.999705740730833,0.6181958729387229
40,0.999705740730833,0.6181958729387229
50,0.999705740730833,0.6181958729387229
60,0.999705740730833,0.6181958729387229
70,0.999705740730833,0.6181958729387229
80,0.999705740730833,0.6181958729387229
90,0.999705740730833,0.6181958729387229
100,0.999705740730833,0.6181958729387229
