param_Boost__n_estimators,train acc,test acc
1,0.7153448476874338,0.6907285854330647
2,0.7153448476874338,0.6907285854330647
5,0.7203847739625345,0.6934777073186227
10,0.726319082337965,0.7037803631017933
20,0.7264842684134303,0.7017152359648842
30,0.7264842684134303,0.7017152359648842
40,0.7264842684134303,0.7017152359648842
50,0.7264842684134303,0.7017152359648842
60,0.7264842684134303,0.7017152359648842
70,0.7264842684134303,0.7017152359648842
80,0.7264842684134303,0.7017152359648842
90,0.7264842684134303,0.7017152359648842
100,0.7264842684134303,0.7017152359648842
