,0,1,2,3,4
351,0.9251629037286546,0.765825109902201,0.765825109902201,0.765825109902201,0.765825109902201
369,0.8944863320418194,0.6601764578987561,0.6601764578987561,0.6601764578987561,0.6601764578987561
386,0.8372745470378459,0.8953970805433671,0.8953970805433671,0.8953970805433671,0.8953970805433671
404,0.8929850394703335,0.891747398755408,0.891747398755408,0.891747398755408,0.891747398755408
421,0.8340679987802131,0.8816495454710557,0.8816495454710557,0.8816495454710557,0.8816495454710557
439,0.48993753294932074,0.8483269642794715,0.8483269642794715,0.8483269642794715,0.8483269642794715
457,0.7451938913503585,0.8797037425786859,0.8797037425786859,0.8797037425786859,0.8797037425786859
474,0.8847162463124625,0.9097854755853082,0.9097854755853082,0.9097854755853082,0.9097854755853082
492,0.9008582916502471,0.8796520129326896,0.8796520129326896,0.8796520129326896,0.8796520129326896
509,0.9042938418800489,0.9261410015535475,0.9261410015535475,0.9261410015535475,0.9261410015535475
527,0.9767983848999253,0.9005742534878399,0.9005742534878399,0.9005742534878399,0.9005742534878399
545,0.9486487172388335,0.9542412768476599,0.9542412768476599,0.9542412768476599,0.9542412768476599
562,0.8825673994167841,0.7995202523422469,0.7995202523422469,0.7995202523422469,0.7995202523422469
580,0.920006486889068,0.9615626076272822,0.9615626076272822,0.9615626076272822,0.9615626076272822
597,0.9363071414861894,0.9504563534915623,0.9504563534915623,0.9504563534915623,0.9504563534915623
615,0.9729789061513198,0.9522996506706419,0.9522996506706419,0.9522996506706419,0.9522996506706419
632,0.879868108130231,0.962370240971929,0.962370240971929,0.962370240971929,0.962370240971929
650,0.9273981887654932,0.8572127764084732,0.8572127764084732,0.8572127764084732,0.8572127764084732
668,0.8296040015355135,0.8035033419683456,0.8035033419683456,0.8035033419683456,0.8035033419683456
685,0.9134113774043702,0.9271814703097079,0.9271814703097079,0.9271814703097079,0.9271814703097079
703,0.9333850124906091,0.9537572302501881,0.9537572302501881,0.9537572302501881,0.9537572302501881
1036,0.9690044620348183,0.9743851834772612,0.9743851834772612,0.9743851834772612,0.9743851834772612
1369,0.9624322945365618,0.9625937968585584,0.9625937968585584,0.9625937968585584,0.9625937968585584
1702,0.983961591321096,0.978172627859008,0.987339902368432,0.987339902368432,0.987339902368432
2035,0.9843890711104087,0.9885011130795723,0.9858759237092687,0.9858759237092687,0.9858759237092687
2369,0.989590148096714,0.9842120894186716,0.9868905809256344,0.9868905809256344,0.9868905809256344
2702,0.9882321011581695,0.9922961098577492,0.9805966550076035,0.9805966550076035,0.9805966550076035
3035,0.9872000297577442,0.993785983506953,0.9835165475366736,0.9835165475366736,0.9835165475366736
3368,0.9743503444213968,0.9917401300236467,0.9905348413167665,0.990721362909368,0.990721362909368
3701,0.9896011546537475,0.9954570969165503,0.9944437134628817,0.9942636862865692,0.9942636862865692
4034,0.9855955598502579,0.9931393290514444,0.992573870933863,0.9855506574620103,0.9855506574620103
4367,0.988809949334306,0.9833019389830943,0.994104356323968,0.9949289564346137,0.9949289564346137
4701,0.9940259660406369,0.9943061421899974,0.9941934744057258,0.9950618820889506,0.9950618820889506
5034,0.9922545929744072,0.9865693718820927,0.989204955353604,0.9962286211942964,0.9962286211942964
5367,0.9914276833880392,0.9896853643692665,0.9912233631097508,0.9953176716563108,0.9899469891168888
5700,0.9847750039847591,0.9953982856456147,0.9948607543139018,0.9929336709466425,0.9871328955141749
6033,0.990260511699519,0.992256201384959,0.9847042181244412,0.9938131092823556,0.9898205249210642
6366,0.9934527835531678,0.9930716467416973,0.9911580147129383,0.9884047222023505,0.9923357377185544
6699,0.9899367848713083,0.9934114085828585,0.9920930069866685,0.9944235147617151,0.9953599472554927
7033,0.9931294978575406,0.9954306514701694,0.9952599917206933,0.9935607091483682,0.9959907893703606
