,0,1,2,3,4,train
0.01,0.720955681,0.719249922,0.721867148,0.720322004,0.715768849,0.719632721
0.02,0.720669741,0.722769292,0.721191418,0.71980789,0.721841281,0.721255925
0.04,0.722184336,0.725720199,0.72751611,0.72731826,0.723558644,0.72525951
0.08,0.725205864,0.72350493,0.725975154,0.728991559,0.72657345,0.726050192
0.16,0.726178524,0.724232908,0.727975173,0.72674423,0.725213185,0.726068804
0.32,0.718646415,0.724262158,0.72266338,0.723238087,0.724152494,0.722592507
0.64,0.715046488,0.721629609,0.717948591,0.718137394,0.716303858,0.717813188
1,0.715046488,0.717114048,0.717948591,0.718137394,0.716303858,0.716910076
