mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4991603851318359,0.08398198462325569,0.0017969608306884766,5.611706874818716e-06,relu,10.0,"(8,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 0.001}",0.8518058654250332,0.8645132085232968,0.8703851003977107,0.8433440036214311,0.8615613264415283,0.8583193220146422,0.009606959790969967,2627,0.8661420554331559,0.8544157303667881,0.8599630370431411,0.8550542805807908,0.8572727713648268,0.8585695749577406,0.004256233455415468
0.3352670192718506,0.0661498978321545,0.0019032478332519532,0.0002384203624658644,relu,10.0,"(8,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 0.002}",0.8587706534743106,0.8744365764542311,0.8745723801209299,0.8382448992789473,0.8612745913187275,0.8614599675878252,0.01332095742431121,2623,0.8680215958881505,0.8663229858515903,0.8717688750683871,0.8511708959479294,0.8621099686358199,0.8638788642783755,0.007071204658382557
0.22938933372497558,0.037119979964129704,0.0018123626708984376,4.265190435263984e-05,relu,10.0,"(8,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 0.004}",0.8558120735926538,0.875891615740292,0.8794419115982798,0.8646910466582599,0.8648455002332682,0.8681390494332325,0.008518132920698198,2598,0.8704006647350578,0.8740804816187655,0.8763017485050147,0.8727958190902975,0.8672543408672034,0.8721666109632678,0.0031114989898721663
0.1514596939086914,0.023710269062886653,0.0017821311950683594,1.8313526864746315e-05,relu,10.0,"(8,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 0.008}",0.8656028712775247,0.8771688168913897,0.8900507647039803,0.8747987195654285,0.870897424349505,0.8757075455903709,0.00817440718677186,2572,0.8757916661180565,0.880085532925592,0.8807943738559575,0.8814292785909275,0.8778373266078184,0.8791876356196704,0.0020865633863314534
0.1050264835357666,0.01667463142678429,0.0018290042877197265,6.0443055101245524e-05,relu,10.0,"(8,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 0.016}",0.8718854075726712,0.8982442525948202,0.877715264978821,0.8616936657289748,0.8679947941927766,0.8755126571318598,0.012510910319964595,2573,0.8836395829525315,0.8887784066016668,0.8692176148853298,0.873169958113417,0.8685517508972742,0.8766714626900438,0.008110276097215166
0.1273951530456543,0.04798259293667158,0.0017667770385742187,4.372354935477766e-05,relu,10.0,"(8,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 0.032}",0.8532641381317296,0.9054806479774956,0.8771655834707537,0.8592330326252143,0.8695923926850787,0.8729498296665624,0.01824420500546266,2576,0.8718160985452246,0.8956606526713862,0.8823409384428613,0.8691157185118955,0.8706478158243606,0.8779162447991457,0.010019311668876986
0.13597278594970702,0.01834434405759812,0.001752948760986328,2.5934243277597417e-05,relu,10.0,"(8,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 0.064}",0.8850842306075599,0.8986096291266531,0.8745691467002941,0.8745723801209302,0.8957941281081258,0.8857178877415118,0.010165166631364918,2531,0.8838696434011805,0.8874950501362783,0.8737663018867866,0.883423005818786,0.8899481035987972,0.8837004209683658,0.005517699993594175
0.13949718475341796,0.03513606981756094,0.0017804145812988282,2.9679656306216752e-05,relu,10.0,"(8,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (8,), 'MLP__learning_rate_init': 0.128}",0.8732531445015683,0.8863614317586576,0.8844925146312282,0.8926892359427039,0.8719450526354688,0.8817560801203338,0.007958095961292846,2545,0.8742858905500728,0.8793801133366275,0.886126100760651,0.8889012843462293,0.8766037766353024,0.8810594331257766,0.005580674156877537
0.09166965484619141,0.02033458287823851,0.002241230010986328,2.0750690870604167e-05,relu,10.0,"(32,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 1e-06}",0.08848902253694185,0.07738222265334499,0.07460471432728683,0.08047660620170081,0.0784939419554804,0.07989041236368477,0.004701906892887526,3298,0.07803085785175654,0.08006847350349403,0.0807635981200119,0.0797394444039714,0.08010152940796068,0.0797407806574389,0.0009173347928721526
0.42900538444519043,0.06980367182628608,0.002277231216430664,0.00010740735554647282,relu,10.0,"(32,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (32,), 'MLP__learning_rate_init': 0.001}",0.8562712193229218,0.8991108093251853,0.8865004688459922,0.8914637695217772,0.8647861438687415,0.8796382963891558,0.016327275580803154,2550,0.871183842453081,0.8911709704851802,0.8830015715780761,0.8874895592287392,0.882018139489766,0.8829728166469686,0.0067454108513812375
