param_Boost__n_estimators,train acc,test acc
1,0.9776591638364446,0.9498051963141156
2,0.9195761465477884,0.9018022313695204
5,1.0,0.9827709070167088
10,1.0,0.9886731927399162
20,1.0,0.9918789710051947
30,1.0,0.9936256958960243
40,1.0,0.993189014673317
50,1.0,0.993189014673317
60,1.0,0.9940623771187317
70,1.0,0.9940623771187317
80,1.0,0.9927150810240277
90,1.0,0.9931517622467353
100,1.0,0.9931517622467353
