mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015901803970336914,0.002212207767420259,0.0019942283630371093,0.00022402779991342176,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.9219918842284011,0.9002868182586774,0.9094061838524341,0.9282060115540856,0.9327509712420406,0.9185275835956173,0.012032260407079175,19,0.9196174955619065,0.9253457658696247,0.9227259007925431,0.9180493313060852,0.9172997293004133,0.9206076445661147,0.003013452110773148
0.02577495574951172,0.001894139415850359,0.0018850803375244141,5.4210030880401864e-05,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.9219918842284011,0.9002868182586774,0.9094061838524341,0.9282060115540856,0.9327509712420406,0.9185275835956173,0.012032260407079175,19,0.9196174955619065,0.9253457658696247,0.9227259007925431,0.9180493313060852,0.9172997293004133,0.9206076445661147,0.003013452110773148
0.03463420867919922,0.00033241623059533784,0.001996755599975586,0.00011542700083853659,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.9315511542143186,0.9295367896490669,0.9325803345378189,0.9314318292661917,0.946526313277594,0.9343245622477709,0.006178687530362563,3,0.9416670366780268,0.9419432408390014,0.9420435051147431,0.9406914980436356,0.9394272154243227,0.941154499219946,0.000987220225525951
0.043700361251831056,0.00019848117454739862,0.002091503143310547,2.563220391643578e-05,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.9326674807564949,0.9306347436409942,0.9317003090500997,0.935471419574595,0.9470814275374757,0.9355103383326903,0.006003955067442125,2,0.9444782568305728,0.9464762742793978,0.9460541936781965,0.9446544064151053,0.9419453090020219,0.9447216880410589,0.0015891010213706191
0.053093576431274415,0.0001711166268374347,0.00198979377746582,9.011180252302432e-05,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.9236939953020933,0.9323808429998868,0.9295783682733046,0.9348034930193447,0.9414705835969847,0.9323842422552867,0.005862157495580599,7,0.9473869321573543,0.9472874111008095,0.9493865962357083,0.948744572997732,0.9469213541218429,0.9479453733226894,0.0009496557007529892
0.06064167022705078,0.002693397990527266,0.002114725112915039,0.00013062182623170033,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.9241641151255346,0.9340059896247942,0.9248522186469661,0.9351750503475976,0.9405453095471562,0.9317476348990789,0.006313527496345935,8,0.9520714026397806,0.9524118507876715,0.9548784697733986,0.9535282874157134,0.9534348658223726,0.9532649752877873,0.0009852915917960756
0.06693229675292969,0.002856258464772377,0.002180671691894531,0.00024243746997020828,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.9231343398196913,0.9221664642576191,0.9242778874694352,0.935248606273243,0.9396592133902211,0.9288960271503512,0.0071553905565932,10,0.9560780628993896,0.959839999807358,0.9606221369675959,0.9614689143293397,0.9602129853165667,0.9596444198640499,0.001863605697342694
0.07223763465881347,0.0030365144359913924,0.0021028995513916017,0.00020705691525516206,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.9223891866011074,0.9262491100604267,0.9244825810880386,0.9277221927530135,0.939068648049815,0.9279814413813933,0.005822319871163991,11,0.9630864868415553,0.9657089522103741,0.9684772610013527,0.9687217585010395,0.9674534961609192,0.9666895909430482,0.002090599526127222
0.07605676651000977,0.003544601204029918,0.002074003219604492,0.00010262838444027925,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.9169543090964758,0.9175487602440419,0.9190869697289052,0.9257776070257501,0.9401403041630397,0.9239001759301368,0.008706174613154009,13,0.9675497905310608,0.9712394122361695,0.9731155378280911,0.9736105623502148,0.9758008557098782,0.9722632317310829,0.0027684379422275437
0.07735209465026856,0.0032606637149590204,0.002073860168457031,6.45575879647373e-05,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.9135282149394438,0.9135642452570482,0.9150851608022131,0.9265184488401768,0.9387613357192686,0.921489815113013,0.009907343547810038,15,0.9738837055028621,0.9783930863967873,0.9789900706743816,0.9765161516031646,0.982819957502321,0.9781205943359034,0.002947531803475209
0.07983598709106446,0.002600425348338549,0.002237749099731445,0.000328004472627851,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.9140859434606103,0.9148618152135716,0.9148985842889694,0.9104879958368689,0.9393211507267534,0.918730178811097,0.010421539892125709,18,0.9801902012780555,0.9837529286365506,0.9845194870726071,0.9803924060635232,0.9881649852504739,0.9834040016602422,0.0029472442525576765
0.08196396827697754,0.0019661883537214746,0.0020934104919433593,0.00010365683081413792,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",0.9059930640346505,0.907520841053686,0.9075337836775879,0.9135946759586646,0.931628759178388,0.9132528100784569,0.00954999213292707,24,0.9858289467811241,0.9890568697646139,0.9874548009858958,0.9830437432444393,0.9916326197554346,0.9874033961063017,0.0029020135777856203
