mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.046283721923828125,0.0010891948457241527,0.0016234397888183593,5.8153883739776776e-05,1,{'Boost__n_estimators': 1},0.9333009991269764,0.9336243411905457,0.9511462476153523,0.9419989006369841,0.948864607439639,0.9417813848202704,0.00743497982141973,12,0.9704257560693612,0.9711344771483881,0.9789864685401073,0.972091147650681,0.980149222362337,0.9745574143541751,0.004141362300790964
0.09600229263305664,0.002014774179020111,0.0019381523132324218,9.136906717952096e-05,2,{'Boost__n_estimators': 2},0.8868723122190966,0.9154977851068647,0.9181362563455879,0.9015714424289457,0.919153571313092,0.9082375903160151,0.012416960881394205,13,0.9154553299400553,0.9430774012830757,0.9317419396276477,0.920564852187879,0.9440634397128721,0.930980592550306,0.01155504000151617
0.2440052032470703,0.002930295613811344,0.002974987030029297,0.00013188905495793992,5,{'Boost__n_estimators': 5},0.9804216380508941,0.9730914734697839,0.9818799107575904,0.9754163029068453,0.9831234496902844,0.9787831024261195,0.0038685452180805715,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.49492883682250977,0.003909383397525743,0.004962348937988281,0.00032393747654025696,10,{'Boost__n_estimators': 10},0.9846574190836486,0.9854754745044785,0.9886183593623693,0.9827917353768553,0.9898934818859157,0.9862844232005175,0.0026056926243344463,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.001125431060791,0.02631648067998835,0.007922172546386719,0.0002301961198788477,20,{'Boost__n_estimators': 20},0.9898470592039318,0.9893911468942995,0.9920328515536586,0.9863420312348434,0.9893440313364652,0.9893914617733963,0.001816529687227752,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.4956448078155518,0.013790349820908907,0.011312007904052734,0.0003966270028051215,30,{'Boost__n_estimators': 30},0.9903935072913637,0.9916222071329259,0.9931710156174215,0.9885278235845704,0.9927263048007057,0.9912870268051738,0.001682134083036063,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.9989887714385985,0.016143018163470683,0.014618778228759765,0.0003392300311229778,40,{'Boost__n_estimators': 40},0.9932162835063215,0.9921686552203577,0.9920328515536586,0.9886636272512693,0.9920852791596801,0.9916329795544806,0.0015481630782666817,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.500070571899414,0.015245974436971774,0.018253231048583986,0.0007828849867252614,50,{'Boost__n_estimators': 50},0.9943091796811848,0.992760371196689,0.9925792996410903,0.9897112555372332,0.9937794183538192,0.99262698817618,0.0015927481380211676,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.989595413208008,0.024554546849814153,0.021170377731323242,0.0006692916655886328,60,{'Boost__n_estimators': 60},0.9943544475700844,0.9949914314353155,0.9925792996410903,0.9891648074498014,0.9931811777965625,0.9928539725016318,0.002031186189018595,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.4976455688476564,0.012760609216057232,0.02455759048461914,0.0008644426036595198,70,{'Boost__n_estimators': 70},0.9943544475700844,0.9939438031493518,0.9937174637048533,0.990348239402464,0.9926347297091307,0.9930000272847938,0.001443125488399886,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.9760831356048585,0.014069854947888214,0.02756524085998535,0.0009799642379619544,80,{'Boost__n_estimators': 80},0.9954473437449478,0.9944449833478838,0.9937174637048533,0.9898017913150322,0.9926347297091307,0.9932097197428055,0.001936431247908752,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.496511840820313,0.017413442298706058,0.031365060806274415,0.0007332693942096708,90,{'Boost__n_estimators': 90},0.9954926116338475,0.9938532673715524,0.9931710156174215,0.9898017913150322,0.993730628346013,0.9932094482817222,0.001872187489880902,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.982490968704224,0.015996428520164453,0.034851884841918944,0.001216402773449449,100,{'Boost__n_estimators': 100},0.9949461635464159,0.9938532673715524,0.9937174637048533,0.9908946874898956,0.9948753169907015,0.993656410235765,0.001471155253337495,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
