,0,1,2,3,4,train
1,1,1,1,1,1,1
2,0.997094189,0.996786357,0.996934473,0.996809055,0.996688169,0.996862449
3,0.995441814,0.995281943,0.996147914,0.994894431,0.995322049,0.99541763
4,0.993994754,0.99498602,0.995099715,0.993435835,0.993865393,0.994276343
5,0.994028428,0.993743107,0.994449955,0.992922874,0.992681152,0.993565103
6,0.993459094,0.99271798,0.994712203,0.992170971,0.992487956,0.993109641
7,0.992512851,0.99123589,0.993902759,0.991087742,0.99056407,0.991860663
8,0.991908909,0.991338642,0.994028209,0.990506686,0.990120283,0.991580546
9,0.991099091,0.990665809,0.991964876,0.989708404,0.990006305,0.990688897
10,0.990335839,0.98977692,0.991201623,0.989263959,0.990108966,0.990137462
11,0.988546291,0.98854573,0.989241416,0.988853563,0.989425906,0.988922581
12,0.988671928,0.988682529,0.989515013,0.987941975,0.989255343,0.988813358
13,0.98728124,0.987736286,0.988831019,0.987976023,0.988025835,0.987970081
14,0.987121743,0.98739478,0.988967818,0.98750888,0.987297507,0.987658145
15,0.985890552,0.987143694,0.987873427,0.987144067,0.986500469,0.986910442
16,0.986027725,0.986710598,0.987713929,0.985970418,0.986056682,0.986495871
17,0.985468993,0.985764355,0.987029935,0.985457457,0.985635529,0.985871254
18,0.985195582,0.985741657,0.986175467,0.984990314,0.985498917,0.985520388
19,0.983941694,0.984784251,0.985502635,0.984180683,0.985100398,0.984701932
20,0.983656747,0.984465257,0.985046841,0.984009837,0.985089081,0.984453552
21,0.983656747,0.983826846,0.984647794,0.98347399,0.984815857,0.984084247
22,0.983052992,0.982926795,0.983622106,0.98243714,0.983666376,0.983141082
23,0.982539657,0.981991901,0.984066551,0.981889944,0.983108611,0.982719333
24,0.982209313,0.981946504,0.983599595,0.981992696,0.982790119,0.982507645
25,0.981935715,0.981547456,0.982459806,0.981035103,0.982516895,0.981898995
26,0.981058176,0.980966213,0.982596605,0.980727645,0.981913862,0.9814525
27,0.980362832,0.980419017,0.981627664,0.979758703,0.98109419,0.980652481
28,0.979622091,0.980282405,0.981753113,0.98004365,0.980798332,0.980499918
29,0.97876725,0.979712324,0.980647373,0.978755901,0.980513791,0.979679328
30,0.978619289,0.979108569,0.980351076,0.979177647,0.980513791,0.979554074
31,0.977935294,0.978698173,0.980077479,0.978334155,0.980251883,0.979059397
32,0.977627649,0.978675474,0.97918859,0.978151959,0.979785463,0.978685827
33,0.976636008,0.978128279,0.978789542,0.977445266,0.979113719,0.978022563
34,0.976054952,0.977968781,0.978345098,0.977126271,0.977475183,0.977394057
35,0.976350875,0.977011189,0.977786553,0.976294128,0.976780806,0.97684471
36,0.975188575,0.976407247,0.977342295,0.975849684,0.976177773,0.976193115
37,0.975199737,0.975142009,0.976909013,0.974698546,0.975472079,0.975484277
38,0.97504024,0.975107961,0.976305258,0.974960795,0.975142271,0.975311305
39,0.974345083,0.974150369,0.975017322,0.973832356,0.974322598,0.974333546
40,0.974037437,0.973842723,0.97441338,0.973513361,0.974595822,0.974080545
41,0.974037437,0.972964997,0.974025869,0.972362224,0.974049374,0.97348798
42,0.973308233,0.972372404,0.973558726,0.972054578,0.974004106,0.97305961
43,0.973034635,0.971528912,0.972452985,0.971484684,0.97247874,0.972195991
44,0.973285534,0.971221267,0.972441636,0.971313837,0.972034953,0.972059446
45,0.9728863,0.970651373,0.971894441,0.970333547,0.971329259,0.971418984
46,0.972464554,0.970355077,0.971860393,0.969444658,0.971465871,0.97111811
47,0.971632411,0.969352461,0.970720418,0.968453018,0.970760177,0.970183697
48,0.970310801,0.968623069,0.970116663,0.96830487,0.970020532,0.969475187
49,0.968886066,0.967631429,0.968840076,0.967335928,0.969189543,0.968376608
50,0.968760616,0.967175636,0.968122033,0.967051168,0.968575193,0.967936929
