param_Boost__n_estimators,train acc,test acc
1,1.0,0.958576073194846
2,1.0,0.958576073194846
5,1.0,0.958576073194846
10,1.0,0.958576073194846
20,1.0,0.958576073194846
30,1.0,0.958576073194846
40,1.0,0.958576073194846
50,1.0,0.958576073194846
60,1.0,0.958576073194846
70,1.0,0.958576073194846
80,1.0,0.958576073194846
90,1.0,0.958576073194846
100,1.0,0.958576073194846
