mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.033561992645263675,0.005399345671051702,2.8690559387207033,0.05533599632790244,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.6133592624995655,0.607173085700985,0.6124963347873269,0.6061672304292758,0.6143174337584953,0.6107026295113273,0.0033576229580219697,46,0.9993110281603745,0.9992615745016041,0.9995304729326049,0.999277596763399,0.9992108591225515,0.9993183062961067,0.0001108948245577368
0.03442230224609375,0.002283075800821867,3.5369184017181396,0.1023120337749099,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.5997048970766224,0.6039242714161778,0.5826735950521895,0.6091190491304755,0.5979961513033981,0.5986836639935131,0.008879180661873647,51,0.6700991796305277,0.6725053547028788,0.6720518498972788,0.6703325706631741,0.6705642526117301,0.671110641501118,0.0009755089259594422
0.03389616012573242,0.00344341205739988,3.902174186706543,0.2586134177030744,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.6331711753094702,0.6313430850661854,0.6263190987053109,0.6444668135774592,0.631370810722493,0.6333342716913749,0.006016509732922217,7,0.6833195398810454,0.6884261133043019,0.6880541133901529,0.6816514049964671,0.6842913350721149,0.6851485013288164,0.0026643888019439203
0.032387590408325194,0.0038432394848762408,3.646687412261963,0.1655144846332031,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.6137959483411226,0.6149992594003258,0.6171553113088059,0.6228798445042969,0.619859012238472,0.6177376225309422,0.0032960447448045394,40,0.6479829481497216,0.6520857969365152,0.6492804760465138,0.6452121678929589,0.6486020604674309,0.6486326898986281,0.002212087177400267
0.03271708488464355,0.0019312754282698684,3.712699556350708,0.07959736450889329,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.633725846916177,0.6273415796839906,0.6352811104763113,0.6325257774029437,0.6287037779455364,0.6315158277378655,0.003013731181162963,12,0.6556858881156535,0.6621611384142175,0.6611029605344844,0.6571321795341754,0.6599135467528325,0.6591991426702727,0.0024299633170875067
0.03237614631652832,0.0023831555887355626,3.6042532920837402,0.0629850290195559,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.6215908157966444,0.6162779274091404,0.6221256419790032,0.6246882679943049,0.6176941203998569,0.6204755170780982,0.0030681801660038858,36,0.6373579269690008,0.6419867803034235,0.6409258152587393,0.6396119740448492,0.6391082910382224,0.6397981575228471,0.0015828447084277088
0.03298044204711914,0.0017130201460956375,3.8799970626831053,0.14203161481835597,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.634586752653987,0.6260470416821587,0.638009993561317,0.6298777557109303,0.622361396241772,0.6301770973598836,0.005639553120255813,17,0.6434831552011095,0.6505002780000205,0.6493201892103933,0.6440077032200306,0.6463710744387657,0.6467364800140639,0.002793048329513325
0.03367776870727539,0.0028955929831939488,3.9592644691467287,0.13503152591162915,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.62212571817696,0.6176850667899991,0.621981300613942,0.6226606874578688,0.6158728982067152,0.6200653947832625,0.0027528669813699567,37,0.6330060447414932,0.636994046694398,0.634757173607513,0.6307369322393432,0.6365522752836478,0.6344092945132791,0.002317312446659625
0.03330044746398926,0.002755669506045328,3.9712164878845213,0.15846705422242713,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.6318900790718688,0.6228103188206026,0.6299261214039351,0.6293321302367197,0.6228902642398497,0.6273701577468799,0.003786122738890128,22,0.6372768969327545,0.6426388273083776,0.6400557316464677,0.6366854429728651,0.6414436215899586,0.6396201040900846,0.002312164914705329
0.031972312927246095,0.00366566729378173,3.8520962238311767,0.20583506529764153,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.6240675095156715,0.6110937296901875,0.6192902032265962,0.6209112096562106,0.6176179734938169,0.6185963938471641,0.0043133783235016245,39,0.6287544835412731,0.6317644591779618,0.6296773607771348,0.6271688020942977,0.6315780106606476,0.6297886232502631,0.0017349998318448169
0.030640172958374023,0.0021577982289592663,3.501542568206787,0.055721918908392,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.6317452726365197,0.6188352634267698,0.6239393554666836,0.6268390299051125,0.6207315498820227,0.6244185531685364,0.004572627805309152,32,0.630952908501932,0.6383845191977481,0.6353757825064018,0.630057722186137,0.6383151435703812,0.63461721519252,0.0035400225457822296
