mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.05650649070739746,0.007418450461671047,0.0022280216217041016,0.0004920509413904991,1,{'Boost__n_estimators': 1},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05013580322265625,0.0007255169485223716,0.0014872550964355469,3.708340230410651e-05,2,{'Boost__n_estimators': 2},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05239834785461426,0.0026657829709128837,0.0015976428985595703,8.280631131124007e-05,5,{'Boost__n_estimators': 5},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05109891891479492,0.001086280359624198,0.0015418052673339844,0.00012303723774008076,10,{'Boost__n_estimators': 10},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.051142644882202146,0.0015995131523992739,0.0015022754669189453,3.425304223940732e-05,20,{'Boost__n_estimators': 20},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05111551284790039,0.0012365208295860932,0.0015378475189208984,7.665673070971594e-05,30,{'Boost__n_estimators': 30},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.050727033615112306,0.0007426278894556125,0.001709318161010742,0.0002093175327264518,40,{'Boost__n_estimators': 40},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05070958137512207,0.0005388807083297062,0.001588296890258789,0.00013786271849383972,50,{'Boost__n_estimators': 50},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.050403690338134764,0.0006096400009807178,0.0016514778137207032,0.00011631009382433432,60,{'Boost__n_estimators': 60},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.050484418869018555,0.0006786739365865686,0.0015201568603515625,6.54930238661641e-05,70,{'Boost__n_estimators': 70},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.050604248046875,0.0006946084379388322,0.0014942169189453125,5.6151579250438866e-05,80,{'Boost__n_estimators': 80},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05153665542602539,0.001937193034375268,0.001558828353881836,0.00015352871053210334,90,{'Boost__n_estimators': 90},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0506746768951416,0.0006993921952155143,0.0015892982482910156,0.00019480061460902843,100,{'Boost__n_estimators': 100},0.9570213729104019,0.9582533061726002,0.9589323245060949,0.9526982895204839,0.9625828564037896,0.9578939000510299,0.0031906904353860943,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
