mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.036092376708984374,0.003195335585333373,0.0035533905029296875,0.000920895432955637,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.6962890265935131,0.6935466562680426,0.6850237143038513,0.6796520995245048,0.6835690105289486,0.6876166314444414,0.006275796535493412,14,0.6854467456523303,0.6861328827973046,0.6882638672360902,0.6896069658086192,0.6886277253158454,0.687615637362038,0.001569239645541495
0.057081413269042966,0.0008451042060484768,0.0030228137969970704,0.00019135271375965071,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.6962890265935131,0.6993875694123266,0.6850237143038513,0.6796520995245048,0.6835690105289486,0.6887848140732983,0.007661522612875544,13,0.6854467456523303,0.6981086456108898,0.6882638672360902,0.6896069658086192,0.6886277253158454,0.6900107899247551,0.004278631728566535
0.07928242683410644,0.0005665384651929223,0.003074026107788086,0.0001809367754640726,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.7049970560222101,0.6993875694123266,0.6950648856000218,0.6926413109521089,0.6962702892422575,0.6976725858610674,0.004258639744206721,7,0.6981522254150256,0.6981086456108898,0.7005196692671335,0.7010212408581186,0.7002187834499135,0.6996041129202162,0.0012303426090186991
0.10053892135620117,0.0010764604327685207,0.003074836730957031,0.00014616248220868615,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.7041195290239948,0.6970607261504234,0.7018005640648947,0.7006556574257964,0.6995278387541357,0.7006330544042769,0.0023453956460340298,6,0.6986322876324874,0.7018300225881611,0.7121254949835677,0.7128959650055535,0.7066736524600685,0.7064314845339676,0.005590542592966565
0.12197251319885254,0.001348569792409154,0.0031177043914794923,9.845025751352576e-05,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.7158035195770746,0.6994661636634594,0.6998477992098255,0.6994525608123019,0.7031764606212074,0.7035498269042302,0.0062847838988078835,1,0.711916505000288,0.7098921412829344,0.7141854224627954,0.7155285052886297,0.7150960643412133,0.7133237276751722,0.002121358070374421
0.14242339134216309,0.001335445650979551,0.003302478790283203,0.00013564107153709275,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.704732752798038,0.7015103699068658,0.6997843192377566,0.6984406598289669,0.703061231693855,0.7015059363398092,0.0022446763052060953,4,0.7169970512657221,0.7175027943690638,0.7187657343925337,0.7188089433226228,0.7201800103601456,0.7184509067420176,0.0011162185075070693
0.16189961433410643,0.0007827557315799065,0.003346538543701172,0.0002374544007302962,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.6888851365134339,0.6992099766333246,0.6929980079380194,0.6926035252544489,0.6993035583802191,0.694599606842978,0.004064221817562754,10,0.7242544087079754,0.7243603932774778,0.7260100248811947,0.7287992841426643,0.725677249166031,0.7258202720350686,0.0016440285135533627
0.1815967559814453,0.0013381709205381727,0.003254556655883789,0.0001966422674108202,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.6947397236539173,0.6887652540861453,0.6848922200759946,0.6981988313639427,0.6966408120185031,0.6926472890276855,0.005027027156928476,11,0.734350604770207,0.7352765767555072,0.7360951135628785,0.7368258546742906,0.7387650482497389,0.7362626396025244,0.001499034513741476
0.2048276424407959,0.004186751722884963,0.003415489196777344,0.00012171230867198897,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.6906346500897297,0.6822532669514196,0.6734748936710467,0.6808060747310414,0.6888970246731103,0.6832132544243287,0.0061471759725552294,19,0.7465786758109428,0.7503356053661648,0.7498019656315478,0.7480833398852705,0.7505018470932714,0.7490602867574394,0.001507808965931439
0.2184596061706543,0.0008648411720333513,0.003308820724487305,0.00013041931263644955,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.680695388204647,0.6741739290777569,0.6709183133673707,0.683126872281319,0.6868535392426358,0.6791533518451193,0.00583195129061085,21,0.7637477208284625,0.7683699168154086,0.7680306070393298,0.7640263958063025,0.7654032226273837,0.7659155726233775,0.0019508074719409793
0.2371753215789795,0.002252405489631505,0.003467273712158203,0.00024322903960777702,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.6842886024995355,0.6664422196225662,0.652625501416208,0.6715871202159528,0.6843202678353956,0.6718527409985426,0.011908994502725902,23,0.7800587419338462,0.7909629672227354,0.7858155302122304,0.7825887332935246,0.7821343347888672,0.7843120614902407,0.0038025792869790954
0.25274314880371096,0.004714279783149962,0.0034607410430908202,0.00010926883447879899,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",0.6746025629983546,0.6656464528298465,0.6484781432410455,0.6615875131872084,0.6777536057577145,0.6656135243093856,0.010373057965221366,26,0.7991431618932724,0.8148489236134299,0.8098255311899425,0.797456864725075,0.7982033913418354,0.803895574552711,0.007093427963991165
