mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__C,param_SVM__class_weight,param_SVM__decision_function_shape,param_SVM__gamma,param_SVM__max_iter,param_SVM__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5263425827026367,0.00945820758467905,0.1748948097229004,0.0018871913253511086,0.1,balanced,ovo,0.0625,-1,0.001,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0625, 'SVM__max_iter': -1, 'SVM__tol': 0.001}",0.9761858570181395,0.9782358457011674,0.9876612668542051,0.9781000420344684,0.9843531888456226,0.9809044968129674,0.0043549459831974556,265,0.9804883736313431,0.9826883184798717,0.9803058039880752,0.9823240662682065,0.9810359879716751,0.9813685100678343,0.0009663888658076302
0.4936231136322021,0.0060248011915157084,0.17221469879150392,0.0019206829872905604,0.1,balanced,ovo,0.0625,-1,0.031,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0625, 'SVM__max_iter': -1, 'SVM__tol': 0.031}",0.9761858570181395,0.9782358457011674,0.9876612668542051,0.9781000420344684,0.9843531888456226,0.9809044968129674,0.0043549459831974556,265,0.9803515747257344,0.9825515195742629,0.9801690050824663,0.9821759181200583,0.9808993759498171,0.981229478690468,0.0009641397363719414
0.4884189605712891,0.004780002857764959,0.16821742057800293,0.0021053680840776782,0.1,balanced,ovo,0.0625,-1,0.061,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0625, 'SVM__max_iter': -1, 'SVM__tol': 0.061}",0.9756394089307078,0.9776893976137357,0.9870695508778736,0.9775535939470368,0.9838037382961721,0.9803483893600878,0.004340426390467598,269,0.9804883736313431,0.9825515195742629,0.9801691919662171,0.9821872673625976,0.9808993759498171,0.9812591456968477,0.0009426731191898771
0.47560653686523435,0.004015022758271782,0.17302274703979492,0.0043800382072379605,0.1,balanced,ovo,0.0625,-1,0.091,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0625, 'SVM__max_iter': -1, 'SVM__tol': 0.091}",0.9767323051055712,0.977644129724836,0.9858861189252108,0.9775535939470368,0.9816089385603889,0.9798836448598925,0.003447238478350181,279,0.9803515747257344,0.982004323951828,0.9798842449124602,0.9820391192144496,0.9804895398842435,0.9809537605377432,0.0008948384417491707
0.3689901351928711,0.007437307496846609,0.14320816993713378,0.002470062075934185,0.1,balanced,ovo,0.0625,114,0.001,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0625, 'SVM__max_iter': 114, 'SVM__tol': 0.001}",0.8074239337795455,0.783108610599153,0.8631163708086784,0.8245933973550621,0.8807224616493217,0.8317540026550613,0.03573975923218005,347,0.8069967821542388,0.7865368188831253,0.8595113030216784,0.8271421378438524,0.8835176383095676,0.8327409360424924,0.03499672694549363
0.36333303451538085,0.0071141341289360956,0.14307360649108886,0.00240808580063959,0.1,balanced,ovo,0.0625,114,0.031,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0625, 'SVM__max_iter': 114, 'SVM__tol': 0.031}",0.8074239337795455,0.783108610599153,0.8631163708086784,0.8245933973550621,0.8807224616493217,0.8317540026550613,0.03573975923218005,347,0.8069967821542388,0.7865368188831253,0.8595113030216784,0.8271421378438524,0.8835176383095676,0.8327409360424924,0.03499672694549363
0.3616814613342285,0.004218462361629805,0.1419731616973877,0.001925339327210338,0.1,balanced,ovo,0.0625,114,0.061,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0625, 'SVM__max_iter': 114, 'SVM__tol': 0.061}",0.8074239337795455,0.783108610599153,0.8631163708086784,0.8245933973550621,0.88017601356189,0.8316450610540982,0.035590850621925504,351,0.8071335810598476,0.7866736177887342,0.8595113030216784,0.8271421378438524,0.8835176383095676,0.832795655604736,0.03494049814108653
0.3591176509857178,0.0058980231462313175,0.1409832000732422,0.0020651329997480013,0.1,balanced,ovo,0.0625,114,0.091,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.0625, 'SVM__max_iter': 114, 'SVM__tol': 0.091}",0.8068774856921138,0.783108610599153,0.8631163708086784,0.8251398454424939,0.8807224616493217,0.8317540026550614,0.03579393528389023,345,0.8069967821542388,0.7866736177887342,0.8595113030216784,0.8271421378438524,0.8836542503314255,0.8327956182279859,0.03500031137336108
1.050289011001587,0.010960108465334328,0.17428603172302246,0.003398950779158571,0.1,balanced,ovo,0.3125,-1,0.001,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.3125, 'SVM__max_iter': -1, 'SVM__tol': 0.001}",0.9748666213987778,0.9770976816374044,0.9855207423933778,0.9820157144242896,0.9821553866478205,0.9803297771109297,0.0038329895520675798,271,0.9850940343055067,0.9858921292540804,0.9840806947129316,0.9859044451856886,0.9847471465062889,0.9851436899928991,0.0006969334516767748
0.9476499557495117,0.008889005842274996,0.17021450996398926,0.0036794400369939495,0.1,balanced,ovo,0.3125,-1,0.031,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__decision_function_shape': 'ovo', 'SVM__gamma': 0.3125, 'SVM__max_iter': -1, 'SVM__tol': 0.031}",0.9748666213987778,0.9770976816374044,0.9855207423933778,0.9820157144242896,0.9821553866478205,0.9803297771109297,0.0038329895520675798,271,0.9850940343055067,0.9860289281596892,0.9842174936185404,0.9857562970375405,0.9847471465062889,0.9851687799255131,0.0006592933531337895
