mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__C,param_SVM__class_weight,param_SVM__max_iter,param_SVM__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.011618852615356445,0.0010653748012852632,0.0016031742095947265,0.00026466959758138415,0.1,balanced,-1,0.001,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.001}",0.10000000000000002,0.1,0.1,0.10000000000000002,0.09999999999999999,0.09999999999999999,1.9633966250933884e-17,21,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.10000000000000002,0.1,0.1,1.2412670766236365e-17
0.010788965225219726,0.0010268190527733874,0.0014111995697021484,0.0001006328643793794,0.1,balanced,-1,0.031,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.031}",0.10000000000000002,0.1,0.1,0.10000000000000002,0.09999999999999999,0.09999999999999999,1.9633966250933884e-17,21,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.10000000000000002,0.1,0.1,1.2412670766236365e-17
0.010555219650268555,0.0008635035053024935,0.0013497829437255859,0.00014181313452685338,0.1,balanced,-1,0.061,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.061}",0.10000000000000002,0.1,0.1,0.10000000000000002,0.09999999999999999,0.09999999999999999,1.9633966250933884e-17,21,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.10000000000000002,0.1,0.1,1.2412670766236365e-17
0.011227035522460937,0.0005969557425727997,0.001399993896484375,0.000171819058159837,0.1,balanced,-1,0.091,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.091}",0.10000000000000002,0.1,0.1,0.10000000000000002,0.09999999999999999,0.09999999999999999,1.9633966250933884e-17,21,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.10000000000000002,0.1,0.1,1.2412670766236365e-17
0.13670110702514648,0.0023414961032152577,0.0015578746795654296,3.6796692716111325e-05,0.1,balanced,114,0.001,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 114, 'SVM__tol': 0.001}",0.9263814789665988,0.9279302874510947,0.9356290619846735,0.9320755327060498,0.9196673964958959,0.9283436530886069,0.00540591097987805,9,0.9305489971523044,0.9313787207983449,0.9285763036525124,0.9293862762245638,0.9313916642416011,0.9302563924138653,0.0011147987340614574
0.11813745498657227,0.0026010702088715655,0.0015720844268798829,9.191688991872792e-05,0.1,balanced,114,0.031,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 114, 'SVM__tol': 0.031}",0.9257897629902675,0.9256539593235686,0.9339444498334788,0.9315290846186182,0.9179274697559692,0.9269761431127324,0.005551894680469164,14,0.9301272511929388,0.9310823922317342,0.9283140550838344,0.9285196797829376,0.9307999482652698,0.9297686653113431,0.001148378208696001
0.1122920036315918,0.002069635447506517,0.0015188694000244141,7.386584669403379e-05,0.1,balanced,114,0.061,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 114, 'SVM__tol': 0.061}",0.9241051508390726,0.9245157952598054,0.9345361658098101,0.9297992045785237,0.9184769203054196,0.926292864586932,0.0054617793004824375,15,0.9285661230563617,0.9293388490653255,0.9266163149253993,0.9280981529776371,0.9296391502570569,0.9284517180563562,0.00106806348878501
0.10618734359741211,0.001292629091935704,0.0014924049377441407,4.2242659093610716e-05,0.1,balanced,114,0.091,"{'SVM__C': 0.1, 'SVM__class_weight': 'balanced', 'SVM__max_iter': 114, 'SVM__tol': 0.091}",0.9224658065767776,0.922785915219711,0.9328062857697157,0.9280240566495297,0.9179274697559691,0.9248073794497789,0.005121484520760476,20,0.92643491392852,0.9279481615241592,0.9249299562798182,0.9254085535982572,0.928353057199211,0.9266149285059931,0.0013509610434067926
0.010384178161621094,0.0003329171930586419,0.0013080596923828124,6.242135346995463e-05,0.6,balanced,-1,0.001,"{'SVM__C': 0.6, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.001}",0.10000000000000002,0.1,0.1,0.10000000000000002,0.09999999999999999,0.09999999999999999,1.9633966250933884e-17,21,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.10000000000000002,0.1,0.1,1.2412670766236365e-17
0.010635995864868164,0.0004668826941523292,0.0013114452362060548,5.4992494717785724e-05,0.6,balanced,-1,0.031,"{'SVM__C': 0.6, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.031}",0.10000000000000002,0.1,0.1,0.10000000000000002,0.09999999999999999,0.09999999999999999,1.9633966250933884e-17,21,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.10000000000000002,0.1,0.1,1.2412670766236365e-17
0.010483932495117188,0.0003195329666405819,0.0013543128967285155,0.00013771801754059801,0.6,balanced,-1,0.061,"{'SVM__C': 0.6, 'SVM__class_weight': 'balanced', 'SVM__max_iter': -1, 'SVM__tol': 0.061}",0.10000000000000002,0.1,0.1,0.10000000000000002,0.09999999999999999,0.09999999999999999,1.9633966250933884e-17,21,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.10000000000000002,0.1,0.1,1.2412670766236365e-17
