mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4482901573181152,0.07915055008248936,0.005961084365844726,0.00018923645339273366,relu,0.1,"(23, 23)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (23, 23), 'MLP__learning_rate_init': 0.004}",0.6621358621825528,0.6710467847394147,0.6550392517827291,0.6477254521436582,0.6727073603801091,0.6617305017666013,0.009469298217477076,16,0.6680723578775211,0.6596741841964251,0.6625902673365164,0.6622558862758596,0.675041015206089,0.6655267421784823,0.005487720260683808
0.379941987991333,0.17111571632995445,0.005649852752685547,0.00015663918475248637,relu,0.1,"(23, 23)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (23, 23), 'MLP__learning_rate_init': 0.016}",0.658561661602219,0.6717851172716913,0.6554299558965336,0.6253676548382318,0.6654101166459657,0.6553106158986348,0.016003465375084472,66,0.6625161193946365,0.6618281588093835,0.6621486040452847,0.640296766301305,0.666396564225156,0.6586372425551532,0.009318126781583445
0.6740249156951904,0.15919105223063,0.004103851318359375,0.000674532930499461,relu,0.1,"(11, 11)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (11, 11), 'MLP__learning_rate_init': 0.001}",0.6456994503399552,0.6542208135714135,0.645617765928183,0.6525673114418116,0.6363528859425247,0.6468920348849607,0.006324817731628227,119,0.6426178400817472,0.6466158833665002,0.6505253624845803,0.661312651393643,0.6427557445217866,0.6487654963696514,0.0069146201502178345
0.6303405284881591,0.1338128527820516,0.0038668632507324217,0.0002653783387363391,relu,0.1,"(11, 11)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (11, 11), 'MLP__learning_rate_init': 0.004}",0.6631581956161174,0.6651937801718795,0.6505722266053632,0.6465004398255207,0.6644799645387387,0.6579808662778188,0.007845432583709963,42,0.6684086431576729,0.6568479595692907,0.6511307284132776,0.6617146015209953,0.6717226059103207,0.6619649077143114,0.0074881192990580835
0.2920535087585449,0.0517007562586098,0.004302024841308594,0.0012570193282577615,relu,0.1,"(11, 11)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (11, 11), 'MLP__learning_rate_init': 0.016}",0.6483098696540612,0.6624868127915166,0.6463455184651147,0.6304075111921236,0.6606090794343343,0.6496312458403558,0.011557228925709196,105,0.6511411274732309,0.6570297787789385,0.6556783187115562,0.6444396114339331,0.6642953004158794,0.6545168273627076,0.006576141008894991
0.874222993850708,0.17794224143809934,0.008555030822753907,0.00037391877081333134,relu,0.1,"(46, 46)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (46, 46), 'MLP__learning_rate_init': 0.001}",0.6575504090089247,0.6756264112958076,0.6570615423214927,0.6499457397381602,0.6493504315915863,0.65790724845692,0.00950158716701206,44,0.6573318584622666,0.6674311398224444,0.6631468736252644,0.6633844203872392,0.6549861017755193,0.6612560788145468,0.004493293641878454
0.8716808319091797,0.2983207735544004,0.008529472351074218,0.00012650907684280227,relu,0.1,"(46, 46)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (46, 46), 'MLP__learning_rate_init': 0.004}",0.6558483667596955,0.6752251271866583,0.6401448854791075,0.6535195110228438,0.6587364202583044,0.6566947418057595,0.011244901953835547,58,0.6540669723997413,0.6689846221086962,0.6495277857591649,0.6704579852126256,0.668099231326581,0.6622273193613617,0.008668953421825887
0.8144708156585694,0.3744506857244946,0.007979393005371094,0.0002613789744038872,relu,0.1,"(46, 46)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (46, 46), 'MLP__learning_rate_init': 0.016}",0.6589462171270505,0.6719294586367524,0.6573933007469477,0.642461148745666,0.6488791780571846,0.6559222801226815,0.009983353904624584,62,0.6602842540915485,0.6646042223407458,0.6627282005082057,0.6556260711787444,0.6559705186735135,0.6598426533585515,0.003576784171028402
0.637177848815918,0.15212024991683942,0.007870817184448242,0.0001602145603493185,relu,0.1,"(23, 23, 23)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (23, 23, 23), 'MLP__learning_rate_init': 0.001}",0.6349768485989538,0.6687834214495803,0.6580296118955421,0.6574945664166765,0.6472987515437397,0.6533161265682758,0.011415024819331094,82,0.6359694637942271,0.6636575074390142,0.666907278785198,0.6691504190565492,0.6518589697813979,0.6575087277712773,0.0123087683101314
0.6078550338745117,0.23444143039231316,0.00782604217529297,4.0870369024798126e-05,relu,0.1,"(23, 23, 23)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 0.1, 'MLP__hidden_layer_sizes': (23, 23, 23), 'MLP__learning_rate_init': 0.004}",0.6555334442424711,0.6837261534462067,0.6450933004446621,0.6703613521838622,0.6630538489739582,0.6635533065080349,0.013104549283470022,11,0.6637011846589725,0.6777238250529,0.6525337431589074,0.6779996913962785,0.6670011264422624,0.6677919141418642,0.00951853733988235
