,0,1,2,3,4
1,0.9196174955619065,0.9235025596461537,0.9227259007925431,0.9180493313060852,0.9165898583797929
2,0.9196174955619065,0.9235025596461537,0.9227259007925431,0.9180493313060852,0.9165898583797929
3,0.9413411901740056,0.9413854624201009,0.9368553187329915,0.9387779530517295,0.9360831623157596
4,0.9446141823008535,0.9447101678233865,0.942860802861263,0.9414510706469975,0.941252061613432
5,0.9479537328960455,0.9451093967846574,0.9465780057089558,0.9449531556321983,0.9425270977573318
6,0.9510072209510844,0.95205421189577,0.9514395724489492,0.9508048984741594,0.9512763561378133
7,0.9551995181516006,0.9600971295169963,0.9569217160630188,0.9575345134738604,0.958816735037546
8,0.9599035039415619,0.9649587221719519,0.9648961454771662,0.9651005056110499,0.9665950205982453
9,0.9642492925381762,0.9708586205948945,0.9734911391524788,0.9703495205107622,0.9717339823604016
10,0.9691330247159451,0.9741163325546199,0.9794482255265872,0.9746850665220891,0.9757843786025363
11,0.9755129107561501,0.9816185760276668,0.9851393311096677,0.9799829212486566,0.982854619279528
12,0.978988281391164,0.9845844165933669,0.990076689982001,0.9874778537995607,0.9883724279734565
13,0.9873701461492984,0.9901851441836299,0.9935843702502699,0.9910574566336442,0.9926833280368981
14,0.9907636640639872,0.9935340227009293,0.9962191511237134,0.9938752833931394,0.9946396381948232
15,0.9943596694344319,0.995453352070368,0.9977467759720026,0.9960279402989778,0.9979381443298969
16,0.996838474803602,0.9970772842700403,0.9991358617378782,0.9987522794893946,0.9987522794893945
17,0.9978422440661711,0.9980336674500028,0.999663768672847,0.9997117878758767,0.9998078401229824
18,0.9989463598063203,0.9984167346351296,0.9999039108292496,0.9998558731683882,0.9998558731683882
19,0.999807821658499,0.9995196926032661,0.9999519531062316,1.0,1.0
20,0.999855859318695,0.9996157171678355,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,1.0
