mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.008368778228759765,0.0006331453303246486,0.10547070503234864,0.0026459265937650743,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.9920781194425583,0.9933068192841208,0.9875707310764057,0.9949461635464155,0.9936813186813187,0.9923155439944811,0.0025438579079338376,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.008234167098999023,0.0006279432417732164,0.14520769119262694,0.003050862853131244,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.9931257477285221,0.9920328515536587,0.9847479548614478,0.9932615513952209,0.9919443944034108,0.9910217660795582,0.0031847943925679104,4,0.9939947538425965,0.9949860201419743,0.9950997145246883,0.9934358352101204,0.993865392698936,0.9942763432836632,0.0006536372483064427
0.007705974578857422,0.00021033110301110333,0.16198673248291015,0.0019115039063702121,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.9897565234261325,0.99262456752999,0.9847932227503476,0.9871148187667733,0.9880066654656819,0.9884595198128339,0.002627223236131162,7,0.99251285124973,0.991235890361592,0.9939027589855784,0.9910877422134436,0.9905640702298961,0.9918606626080482,0.0012053551950259782
0.007764053344726562,0.00017114491389264903,0.17498245239257812,0.001208743903627631,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.9892100753387009,0.9925792996410904,0.9830180748213535,0.9865231027904419,0.9863125262715425,0.9875295838866378,0.0032002021613951313,9,0.9903358391139144,0.9897769204814384,0.9912016234799083,0.9892639594703722,0.9901089662754226,0.9901374617642112,0.0006427444277218457
0.007767105102539062,0.00012013435023090442,0.1860095500946045,0.0010545652540680122,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.9892100753387009,0.9909399553787953,0.9825168946228214,0.9843825783296148,0.9830616105206269,0.9860245797454498,0.0034087771334900163,12,0.9872812399878659,0.9877362861398464,0.9888310188819036,0.9879760231071965,0.988025835030879,0.9879700806295382,0.0005046820451978405
0.007621955871582031,0.0001648081530230903,0.19349637031555175,0.0008233283713007097,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.987525463187506,0.9886183593623694,0.980787014582727,0.9837908623532834,0.9789895214075541,0.9839461869808486,0.0037194286910936514,14,0.9860277251198101,0.9867105983453488,0.9877139291519548,0.9859704182558605,0.9860566818637435,0.9864958705473436,0.0006660212824304089
0.007675027847290039,5.5421238478700305e-05,0.20236477851867676,0.002000733282987373,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.9858861189252108,0.9868884793222751,0.9780095062566689,0.9837908623532834,0.9784858584038911,0.9826154499546359,0.003703852840406131,18,0.9839416938080606,0.9847842513080376,0.9855026350608868,0.9841806832404071,0.9851003977107381,0.9847019322256261,0.000575558713022985
0.007727384567260742,0.00028466227849430865,0.21006898880004882,0.0015351603974060608,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.9847026869725483,0.9869337472111747,0.9762796262165745,0.9798751899634622,0.9767459316639644,0.9809107493286873,0.004254966607013831,22,0.9830529918029224,0.9829267946048498,0.9836221061051186,0.9824371400739983,0.9836663756588093,0.9831410816491395,0.000459680502830875
0.007620525360107422,0.0001992132628457414,0.2173628330230713,0.0012157209750721576,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.9819251786464901,0.9857955831474118,0.9762796262165745,0.9787822937885988,0.9761476911067075,0.9797889710538418,0.0036669152379365457,23,0.9819357151892227,0.9815474563062228,0.9824598062887627,0.9810351032902928,0.9825168946228214,0.9818989951394645,0.000559918915041555
0.007649087905883789,9.881414409798306e-05,0.2215733051300049,0.0025639366229520994,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.978374882788502,0.9852038671710802,0.9751414621528114,0.9770524137485044,0.9755524530114694,0.9782671752125881,0.003654272578526036,26,0.9796220910315494,0.9802824053118767,0.9817531132756403,0.980043650107164,0.9807983315549518,0.9804999182562364,0.000732887630504512
0.007585573196411133,0.00026584872830196356,0.23278040885925294,0.005526414606011203,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.9777831668121706,0.98524913505998,0.9751414621528113,0.9770524137485044,0.9749572149162312,0.9780391300613503,0.003766606657061391,27,0.9779352940778376,0.9786981726524046,0.9800774786807172,0.9783341546683735,0.9802518834675202,0.9790593967093706,0.0009357971075316618
