param_SVM__max_iter,train acc,test acc
1,0.5962488467176066,0.583138366259613
4,0.6846849185453552,0.6836207779221642
16,0.9234190146327145,0.9230551128955483
64,0.9950508595216339,0.995484178066599
256,0.9972293712426951,0.9963575405120139
1024,0.9972293712426951,0.9963575405120139
