mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.00884561538696289,0.0006789914572718345,0.0013315677642822266,0.00016674846111803976,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.19289940828402372,0.19171597633136103,0.1911242603550296,0.19230769230769235,0.19107142857142861,0.19182435208633938,0.000701117901002975,199,0.19155555555555556,0.19185185185185186,0.19199999999999998,0.1917037037037037,0.19201183431952662,0.19182458908612754,0.00017525144266850251
0.012733364105224609,0.00046537695821651236,0.0013641834259033204,6.352831147865728e-05,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.35798169883920206,0.3594367381252628,0.3483752061305655,0.35074207003589114,0.3541268840449169,0.35413252392143313,0.004187182459993542,195,0.3541723799105782,0.35370505009730413,0.3556200478920759,0.3559846265273594,0.3551354803246355,0.35492351695039065,0.000860802611953494
0.016008758544921876,0.00018663107889602365,0.0014227867126464845,0.00013683096291243886,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.5545510395447344,0.5713486597471467,0.5698936204610857,0.5606945387525465,0.5527552208195335,0.5618558550058393,0.007643984988491685,191,0.5668696270202853,0.5609215893185908,0.5649561955742851,0.5631992105588037,0.5659771397161056,0.5643847524376141,0.002118294338855289
0.020661258697509767,0.0008515589364106033,0.001440715789794922,8.175072354347938e-05,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.703249587738869,0.7334788372619395,0.7213244090923789,0.7195039932744852,0.7174402625537556,0.7190006592088977,0.009655703144669252,188,0.72946745401909,0.7196234283377585,0.7194418383339518,0.7269247905180598,0.7240550328192195,0.7239025088056159,0.003958135325130792
0.02459564208984375,0.00045915822356731596,0.0014613151550292968,6.902774152591003e-05,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.7906780483073044,0.8179907524169822,0.8138487405826623,0.8056099848029232,0.814414011797366,0.808503606122388,0.009796689643170523,184,0.8229894713356279,0.812850029296639,0.8142716331604619,0.8198793717656857,0.8157152326446147,0.8171411476406059,0.003751847677355881
0.028772354125976562,0.00031313322909239685,0.0014510631561279296,6.667513571398264e-05,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.8485304103210787,0.8767129045817571,0.8668768390079864,0.8503087916707086,0.8593761692279976,0.8603618069919451,0.010509576692732139,179,0.8788205219619664,0.869684227261591,0.8714815536301589,0.8728267386566959,0.8732175768745756,0.8732061236769976,0.0030673580970904377
0.032281112670898435,0.0002900723696624208,0.001460123062133789,8.027966726335662e-05,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.8980664144598572,0.9167297183690628,0.9148640346622691,0.8885504575290201,0.9092432525440093,0.9054877882116703,0.010684066377702832,175,0.9231751331542424,0.9183115633692966,0.9247454684597657,0.9198599117339566,0.9240129983509554,0.9220210150136433,0.0024961182570501575
0.03534631729125977,0.000628251267298405,0.001547527313232422,8.515507979454327e-05,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.9369903320722993,0.9339412164128434,0.9426811523911145,0.9227438807514471,0.9229428515998503,0.9318669853882972,0.007877799228519002,171,0.9532486141494771,0.9506478467824341,0.9537575147823818,0.9522552380468208,0.9565452517217965,0.9532908930965821,0.0019426089966517585
0.03786711692810059,0.0007597217267256924,0.0015722751617431641,4.0788004988030086e-05,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.9515116241471853,0.9478707925113979,0.9490994923529601,0.9408154686843214,0.9378545792164961,0.9454364223940908,0.005195548197428993,169,0.9733133669830243,0.9732348026219831,0.9757963036954674,0.9731751886123948,0.972250784104504,0.9735540892034746,0.001185713858868569
0.040573835372924805,0.0011034794761524103,0.0016307830810546875,0.00015230219141668534,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.9561548161800371,0.9574772852200345,0.9606622045461893,0.9471432728683675,0.9440136103912901,0.9530974636335354,0.006380565103300104,164,0.9847415779799444,0.9860847977561249,0.9869059326869646,0.983956546497982,0.9849516603614962,0.9853281030565023,0.0010420193253943345
0.04112062454223633,0.00042073038629719125,0.0015432357788085938,2.485113145952072e-05,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.9588870566171955,0.9607559737446245,0.9605264008794905,0.952969896853882,0.9489924430340572,0.9564322722718345,0.00466235267055869,122,0.9914636378209519,0.992705835716783,0.9935498560164523,0.9916248494357115,0.9924645132085231,0.9923617384396843,0.0007602866684330495
